
Sample:   c= 1.0125 mg/ml  Code: 
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/PolymeraseP1_P1_buffer_0009.dat  
 6.254160e-001  6.385680e-003  1.163420e-004
 6.281690e-001  6.547349e-003  1.166970e-004
 6.309210e-001  6.304806e-003  1.153202e-004
 6.336740e-001  6.215965e-003  1.150166e-004
 6.364260e-001  5.980575e-003  1.161944e-004
 6.391790e-001  5.983789e-003  1.145388e-004
 6.419310e-001  6.127232e-003  1.145459e-004
 6.446840e-001  5.913322e-003  1.131380e-004
 6.474360e-001  5.852029e-003  1.133284e-004
 6.501890e-001  5.507251e-003  1.141954e-004
 6.529410e-001  5.616445e-003  1.120929e-004
 6.556940e-001  5.655786e-003  1.114843e-004
 6.584460e-001  5.619503e-003  1.118755e-004
 6.611990e-001  5.433404e-003  1.116874e-004
 6.639510e-001  5.446937e-003  1.109283e-004
 6.667040e-001  5.575890e-003  1.113828e-004
 6.694560e-001  5.437488e-003  1.109384e-004
 6.722090e-001  5.297326e-003  1.110392e-004
 6.749620e-001  5.262637e-003  1.099285e-004
 6.777140e-001  5.030736e-003  1.096146e-004
 6.804670e-001  5.109891e-003  1.091635e-004
 6.832190e-001  4.968409e-003  1.091802e-004
 6.859720e-001  5.160141e-003  1.090610e-004
 6.887240e-001  4.898770e-003  1.087467e-004
 6.914770e-001  4.875263e-003  1.073661e-004
 6.942290e-001  4.760397e-003  1.083187e-004
 6.969820e-001  4.725326e-003  1.077255e-004
 6.997340e-001  4.968792e-003  1.078355e-004
 7.024870e-001  4.878794e-003  1.071614e-004
 7.052390e-001  4.985104e-003  1.075500e-004
 7.079920e-001  4.687133e-003  1.072743e-004
 7.107440e-001  4.620235e-003  1.067600e-004
 7.134970e-001  4.727840e-003  1.060058e-004
 7.162490e-001  4.807644e-003  1.062721e-004
 7.190020e-001  4.481494e-003  1.061585e-004
 7.217540e-001  4.685673e-003  1.059193e-004
 7.245070e-001  4.644407e-003  1.061242e-004
 7.272590e-001  4.712496e-003  1.056673e-004
 7.300120e-001  4.621862e-003  1.051597e-004
 7.327640e-001  4.540779e-003  1.047946e-004
 7.355170e-001  4.492086e-003  1.040968e-004
 7.382690e-001  4.582628e-003  1.045420e-004
 7.410220e-001  4.478993e-003  1.051183e-004
 7.437740e-001  4.502160e-003  1.036878e-004
 7.465270e-001  4.520420e-003  1.046945e-004
 7.492790e-001  4.320834e-003  1.032195e-004
 7.520320e-001  4.411174e-003  1.040504e-004
 7.547850e-001  4.588294e-003  1.043552e-004
 7.575370e-001  4.497451e-003  1.031675e-004
 7.602900e-001  4.311944e-003  1.029492e-004
 7.630420e-001  4.565267e-003  1.025618e-004
 7.657950e-001  4.389041e-003  1.035095e-004
 7.685470e-001  4.430689e-003  1.027721e-004
 7.713000e-001  4.229057e-003  1.017552e-004
 7.740520e-001  4.304302e-003  1.029966e-004
 7.768050e-001  4.415436e-003  1.021095e-004
 7.795570e-001  4.215502e-003  1.023553e-004
 7.823100e-001  4.171845e-003  1.011149e-004
 7.850620e-001  4.240569e-003  1.037308e-004
 7.878150e-001  4.262618e-003  1.056341e-004
 7.905670e-001  4.217035e-003  1.060149e-004
 7.933200e-001  4.293892e-003  1.067863e-004
 7.960720e-001  4.191159e-003  1.056632e-004
 7.988250e-001  4.108768e-003  1.068313e-004
 8.015770e-001  4.133126e-003  1.079054e-004
 8.043300e-001  4.003596e-003  1.071368e-004
 8.070820e-001  4.152953e-003  1.085964e-004
 8.098350e-001  3.843758e-003  1.081719e-004
 8.125870e-001  3.903113e-003  1.083884e-004
 8.153400e-001  4.043026e-003  1.088209e-004
 8.180920e-001  3.925877e-003  1.084327e-004
 8.208450e-001  3.966477e-003  1.098686e-004
 8.235970e-001  3.844318e-003  1.086830e-004
 8.263500e-001  3.992730e-003  1.101663e-004
 8.291030e-001  3.697960e-003  1.088404e-004
 8.318550e-001  3.869116e-003  1.093347e-004
 8.346080e-001  3.878705e-003  1.109377e-004
 8.373600e-001  3.942605e-003  1.106477e-004
 8.401130e-001  3.770526e-003  1.110230e-004
 8.428650e-001  3.686659e-003  1.087797e-004
 8.456180e-001  3.761567e-003  1.071151e-004
 8.483700e-001  3.670810e-003  1.064766e-004
 8.511230e-001  3.632025e-003  1.053681e-004
 8.538750e-001  3.622230e-003  1.045127e-004
 8.566280e-001  3.601061e-003  1.038182e-004
 8.593800e-001  3.518794e-003  1.037166e-004
 8.621330e-001  3.642851e-003  1.030064e-004
 8.648850e-001  3.479811e-003  1.020364e-004
 8.676380e-001  3.526984e-003  1.021088e-004
 8.703900e-001  3.339589e-003  1.018364e-004
 8.731430e-001  3.486037e-003  1.014512e-004
 8.758950e-001  3.382838e-003  1.007838e-004
 8.786480e-001  3.416905e-003  1.003067e-004
 8.814000e-001  3.502937e-003  1.006315e-004
 8.841530e-001  3.428574e-003  1.001008e-004
 8.869050e-001  3.466229e-003  1.007380e-004
 8.896580e-001  3.324657e-003  1.007298e-004
 8.924100e-001  3.366158e-003  1.021637e-004
 8.951630e-001  3.118573e-003  1.032677e-004
 8.979150e-001  3.104985e-003  1.028399e-004
 9.006680e-001  3.203174e-003  1.033328e-004
 9.034200e-001  3.097563e-003  1.043197e-004
 9.061730e-001  3.260498e-003  1.045701e-004
 9.089260e-001  3.123556e-003  1.040684e-004
 9.116780e-001  3.043751e-003  1.034493e-004
 9.144310e-001  3.000824e-003  1.044119e-004
 9.171830e-001  3.026781e-003  1.045232e-004
 9.199360e-001  3.072735e-003  1.044274e-004
 9.226880e-001  2.866184e-003  1.018104e-004
 9.254410e-001  2.879732e-003  1.006377e-004
 9.281930e-001  2.916190e-003  9.917111e-005
 9.309460e-001  2.858226e-003  9.871940e-005
 9.336980e-001  2.770317e-003  9.797231e-005
 9.364510e-001  2.752740e-003  9.733088e-005
 9.392030e-001  2.688238e-003  9.716562e-005
 9.419560e-001  2.733719e-003  9.682215e-005
 9.447080e-001  2.741999e-003  9.636360e-005
 9.474610e-001  2.653610e-003  9.581558e-005
 9.502130e-001  2.553078e-003  9.576680e-005
 9.529660e-001  2.427092e-003  9.615850e-005
 9.557180e-001  2.649875e-003  9.536471e-005
 9.584710e-001  2.448480e-003  9.436705e-005
 9.612230e-001  2.526457e-003  9.536647e-005
 9.639760e-001  2.388105e-003  9.462018e-005
 9.667280e-001  2.289013e-003  9.441472e-005
 9.694810e-001  2.298346e-003  9.311987e-005
 9.722330e-001  2.428350e-003  9.350773e-005
 9.749860e-001  2.423320e-003  9.371713e-005
 9.777380e-001  2.271909e-003  9.266308e-005
 9.804910e-001  2.206069e-003  9.254309e-005
 9.832430e-001  2.318059e-003  9.202045e-005
 9.859960e-001  2.221667e-003  9.235917e-005
 9.887490e-001  2.278892e-003  9.229688e-005
 9.915010e-001  2.374206e-003  9.171076e-005
 9.942540e-001  2.082865e-003  9.170684e-005
 9.970060e-001  2.147770e-003  9.157201e-005
 9.997590e-001  2.034175e-003  9.184828e-005
 1.002510e+000  2.115537e-003  9.107588e-005
 1.005260e+000  1.986610e-003  8.976532e-005
 1.008020e+000  2.028347e-003  9.049274e-005
 1.010770e+000  1.942458e-003  8.967867e-005
 1.013520e+000  2.213921e-003  9.051596e-005
 1.016270e+000  1.973875e-003  9.015712e-005
 1.019030e+000  2.115031e-003  9.004868e-005
 1.021780e+000  1.923210e-003  8.995314e-005
 1.024530e+000  1.827639e-003  8.944882e-005
 1.027280e+000  1.929312e-003  8.923706e-005
 1.030040e+000  2.067364e-003  8.914119e-005
 1.032790e+000  1.817272e-003  8.935230e-005
 1.035540e+000  1.808479e-003  8.863422e-005
 1.038290e+000  1.878459e-003  8.838758e-005
 1.041050e+000  1.833020e-003  8.795352e-005
 1.043800e+000  1.801447e-003  8.834227e-005
 1.046550e+000  1.720952e-003  8.859995e-005
 1.049300e+000  1.724680e-003  8.804479e-005
 1.052060e+000  1.697346e-003  8.783490e-005
 1.054810e+000  1.715682e-003  8.736386e-005
 1.057560e+000  1.800473e-003  8.788437e-005
 1.060310e+000  1.704014e-003  8.784063e-005
 1.063070e+000  1.502565e-003  8.659369e-005
 1.065820e+000  1.457321e-003  8.666877e-005
 1.068570e+000  1.622064e-003  8.695017e-005
 1.071320e+000  1.526487e-003  8.676211e-005
 1.074080e+000  1.536596e-003  8.643237e-005
 1.076830e+000  1.490080e-003  8.615260e-005
 1.079580e+000  1.479226e-003  8.658623e-005
 1.082330e+000  1.570782e-003  8.585148e-005
 1.085090e+000  1.587813e-003  8.584477e-005
 1.087840e+000  1.480035e-003  8.548059e-005
 1.090590e+000  1.607178e-003  8.563511e-005
 1.093340e+000  1.490870e-003  8.583898e-005
 1.096100e+000  1.466980e-003  8.530615e-005
 1.098850e+000  1.467060e-003  8.552309e-005
 1.101600e+000  1.409548e-003  8.522376e-005
 1.104350e+000  1.604737e-003  8.539721e-005
 1.107110e+000  1.308055e-003  8.431353e-005
 1.109860e+000  1.368349e-003  8.475740e-005
 1.112610e+000  1.360211e-003  8.455067e-005
 1.115360e+000  1.359492e-003  8.467098e-005
 1.118120e+000  1.196621e-003  8.393205e-005
 1.120870e+000  1.387720e-003  8.377098e-005
 1.123620e+000  1.317498e-003  8.372656e-005
 1.126370e+000  1.238950e-003  8.419677e-005
 1.129130e+000  1.255665e-003  8.393867e-005
 1.131880e+000  1.206730e-003  8.363789e-005
 1.134630e+000  1.333971e-003  8.302079e-005
 1.137380e+000  1.267244e-003  8.360013e-005
 1.140140e+000  1.362706e-003  8.344510e-005
 1.142890e+000  1.173190e-003  8.275059e-005
 1.145640e+000  1.398182e-003  8.308893e-005
 1.148390e+000  1.438305e-003  8.311978e-005
 1.151150e+000  1.219343e-003  8.290963e-005
 1.153900e+000  1.279103e-003  8.258756e-005
 1.156650e+000  1.244733e-003  8.192776e-005
 1.159400e+000  1.256115e-003  8.294739e-005
 1.162160e+000  1.197322e-003  8.245291e-005
 1.164910e+000  1.290010e-003  8.174287e-005
 1.167660e+000  1.254946e-003  8.158413e-005
 1.170410e+000  1.133473e-003  8.149903e-005
 1.173170e+000  1.184080e-003  8.245931e-005
 1.175920e+000  1.110974e-003  8.142180e-005
 1.178670e+000  1.007951e-003  8.154287e-005
 1.181420e+000  1.208139e-003  8.122770e-005
 1.184180e+000  1.161845e-003  8.112617e-005
 1.186930e+000  1.092523e-003  8.105501e-005
 1.189680e+000  1.158425e-003  8.121505e-005
 1.192430e+000  1.062548e-003  8.050580e-005
 1.195190e+000  1.062006e-003  8.070676e-005
 1.197940e+000  1.143017e-003  8.046008e-005
 1.200690e+000  9.419740e-004  8.042049e-005
 1.203440e+000  1.159373e-003  7.969049e-005
 1.206200e+000  1.124031e-003  7.992525e-005
 1.208950e+000  1.063204e-003  7.996791e-005
 1.211700e+000  1.115447e-003  7.986153e-005
 1.214450e+000  1.049228e-003  7.931969e-005
 1.217210e+000  9.977714e-004  7.923653e-005
 1.219960e+000  9.757379e-004  7.912706e-005
 1.222710e+000  1.006257e-003  7.901959e-005
 1.225470e+000  8.214779e-004  7.937427e-005
 1.228220e+000  1.130057e-003  7.909784e-005
 1.230970e+000  9.135867e-004  7.922653e-005
 1.233720e+000  1.106790e-003  7.868691e-005
 1.236480e+000  1.060317e-003  7.867226e-005
 1.239230e+000  9.345485e-004  7.892876e-005
 1.241980e+000  9.438200e-004  7.890145e-005
 1.244730e+000  9.380848e-004  7.932943e-005
 1.247490e+000  1.055894e-003  7.876969e-005
 1.250240e+000  8.526571e-004  7.845445e-005
 1.252990e+000  1.022276e-003  7.836755e-005
 1.255740e+000  1.068433e-003  7.876928e-005
 1.258500e+000  9.597654e-004  7.847655e-005
 1.261250e+000  1.089313e-003  7.839497e-005
 1.264000e+000  1.040778e-003  7.840222e-005
 1.266750e+000  1.075773e-003  7.848347e-005
 1.269510e+000  1.172100e-003  7.796467e-005
 1.272260e+000  1.033857e-003  7.791512e-005
 1.275010e+000  9.537758e-004  7.756161e-005
 1.277760e+000  8.753507e-004  7.790125e-005
 1.280520e+000  9.986043e-004  7.794580e-005
 1.283270e+000  1.065586e-003  7.793489e-005
 1.286020e+000  1.005934e-003  7.727603e-005
 1.288770e+000  8.442501e-004  7.749879e-005
 1.291530e+000  8.072271e-004  7.748896e-005
 1.294280e+000  8.165586e-004  7.707697e-005
 1.297030e+000  9.184103e-004  7.716396e-005
 1.299780e+000  8.205006e-004  7.678909e-005
 1.302540e+000  6.725045e-004  7.649407e-005
 1.305290e+000  9.582937e-004  7.751021e-005
 1.308040e+000  1.044851e-003  7.661792e-005
 1.310790e+000  8.676537e-004  7.679972e-005
 1.313550e+000  7.361131e-004  7.635696e-005
 1.316300e+000  7.162070e-004  7.649037e-005
 1.319050e+000  8.866567e-004  7.628269e-005
