Sample description: 
Sample:   c= .6900 mg/ml  Code: P1_3_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_3_P1_Buffer_0019_sub.dat
  6.446840e-01   6.019667e-03   4.722586e-04
  6.474360e-01   5.112217e-03   4.750659e-04
  6.501890e-01   5.289855e-03   4.792065e-04
  6.529410e-01   5.359580e-03   4.714658e-04
  6.556940e-01   6.091754e-03   4.697312e-04
  6.584460e-01   4.926043e-03   4.698438e-04
  6.611990e-01   5.424203e-03   4.728794e-04
  6.639510e-01   5.597391e-03   4.699446e-04
  6.667040e-01   4.805014e-03   4.672646e-04
  6.694560e-01   5.431884e-03   4.684086e-04
  6.722090e-01   4.598739e-03   4.710080e-04
  6.749620e-01   4.321667e-03   4.638828e-04
  6.777140e-01   6.231594e-03   4.665613e-04
  6.804670e-01   5.010652e-03   4.642097e-04
  6.832190e-01   5.744435e-03   4.664203e-04
  6.859720e-01   4.985130e-03   4.637988e-04
  6.887240e-01   4.679667e-03   4.640494e-04
  6.914770e-01   4.673406e-03   4.573471e-04
  6.942290e-01   4.854043e-03   4.612426e-04
  6.969820e-01   4.584478e-03   4.622061e-04
  6.997340e-01   4.252725e-03   4.588191e-04
  7.024870e-01   4.658174e-03   4.577090e-04
  7.052390e-01   4.416594e-03   4.569549e-04
  7.079920e-01   4.600391e-03   4.591868e-04
  7.107440e-01   4.827739e-03   4.567449e-04
  7.134970e-01   4.773319e-03   4.563712e-04
  7.162490e-01   4.298333e-03   4.576716e-04
  7.190020e-01   4.296464e-03   4.563510e-04
  7.217540e-01   4.602638e-03   4.523945e-04
  7.245070e-01   4.244681e-03   4.522551e-04
  7.272590e-01   4.947696e-03   4.542542e-04
  7.300120e-01   4.654203e-03   4.512078e-04
  7.327640e-01   4.505638e-03   4.518943e-04
  7.355170e-01   4.463841e-03   4.490030e-04
  7.382690e-01   4.709391e-03   4.492629e-04
  7.410220e-01   4.474812e-03   4.508046e-04
  7.437740e-01   4.110406e-03   4.472875e-04
  7.465270e-01   4.206739e-03   4.500077e-04
  7.492790e-01   4.412609e-03   4.462338e-04
  7.520320e-01   4.964101e-03   4.477888e-04
  7.547850e-01   4.547159e-03   4.492277e-04
  7.575370e-01   4.550029e-03   4.443267e-04
  7.602900e-01   4.480362e-03   4.452951e-04
  7.630420e-01   4.429594e-03   4.435032e-04
  7.657950e-01   3.621797e-03   4.439736e-04
  7.685470e-01   4.521217e-03   4.435174e-04
  7.713000e-01   4.150565e-03   4.382261e-04
  7.740520e-01   4.282406e-03   4.453349e-04
  7.768050e-01   3.538710e-03   4.396283e-04
  7.795570e-01   3.946986e-03   4.425871e-04
  7.823100e-01   4.040580e-03   4.394101e-04
  7.850620e-01   4.194319e-03   4.471212e-04
  7.878150e-01   2.931304e-03   4.567986e-04
  7.905670e-01   4.453522e-03   4.596243e-04
  7.933200e-01   3.933043e-03   4.604197e-04
  7.960720e-01   4.598884e-03   4.605029e-04
  7.988250e-01   4.589710e-03   4.622983e-04
  8.015770e-01   4.075058e-03   4.655045e-04
  8.043300e-01   3.200899e-03   4.652807e-04
  8.070820e-01   3.749145e-03   4.705858e-04
  8.098350e-01   4.264493e-03   4.697978e-04
  8.125870e-01   3.801884e-03   4.696493e-04
  8.153400e-01   4.069319e-03   4.745541e-04
  8.180920e-01   3.945826e-03   4.745359e-04
  8.208450e-01   4.381435e-03   4.774619e-04
  8.235970e-01   4.243435e-03   4.761607e-04
  8.263500e-01   3.496406e-03   4.795625e-04
  8.291030e-01   3.437841e-03   4.738086e-04
  8.318550e-01   3.821826e-03   4.761706e-04
  8.346080e-01   3.187449e-03   4.829316e-04
  8.373600e-01   4.681667e-03   4.833475e-04
  8.401130e-01   3.747188e-03   4.833039e-04
  8.428650e-01   3.939391e-03   4.772868e-04
  8.456180e-01   3.940391e-03   4.706967e-04
  8.483700e-01   4.356812e-03   4.673565e-04
  8.511230e-01   4.453420e-03   4.610261e-04
  8.538750e-01   3.486870e-03   4.571552e-04
  8.566280e-01   3.059072e-03   4.558478e-04
  8.593800e-01   3.228768e-03   4.544684e-04
  8.621330e-01   3.544942e-03   4.546025e-04
  8.648850e-01   2.963768e-03   4.476180e-04
  8.676380e-01   3.790768e-03   4.500119e-04
  8.703900e-01   3.356826e-03   4.474726e-04
  8.731430e-01   3.912884e-03   4.507848e-04
  8.758950e-01   3.658797e-03   4.431383e-04
  8.786480e-01   3.675101e-03   4.409959e-04
  8.814000e-01   2.668362e-03   4.425978e-04
  8.841530e-01   3.604130e-03   4.436294e-04
  8.869050e-01   3.153391e-03   4.439212e-04
  8.896580e-01   3.841246e-03   4.471199e-04
  8.924100e-01   3.012464e-03   4.512545e-04
  8.951630e-01   3.439826e-03   4.583919e-04
  8.979150e-01   3.695304e-03   4.586201e-04
  9.006680e-01   3.005087e-03   4.574609e-04
  9.034200e-01   3.511623e-03   4.634267e-04
  9.061730e-01   2.620014e-03   4.628171e-04
  9.089260e-01   2.779522e-03   4.631639e-04
  9.116780e-01   3.084159e-03   4.624919e-04
  9.144310e-01   3.348754e-03   4.630146e-04
  9.171830e-01   2.414043e-03   4.635917e-04
  9.199360e-01   2.782043e-03   4.637851e-04
  9.226880e-01   2.212551e-03   4.553196e-04
  9.254410e-01   2.923870e-03   4.479606e-04
  9.281930e-01   2.702812e-03   4.423806e-04
  9.309460e-01   2.243493e-03   4.396507e-04
  9.336980e-01   2.554435e-03   4.383804e-04
  9.364510e-01   3.133203e-03   4.336333e-04
  9.392030e-01   2.650449e-03   4.367755e-04
  9.419560e-01   2.441638e-03   4.328186e-04
  9.447080e-01   2.841536e-03   4.326545e-04
  9.474610e-01   2.107188e-03   4.277132e-04
  9.502130e-01   2.512580e-03   4.301486e-04
  9.529660e-01   2.803783e-03   4.324377e-04
  9.557180e-01   1.990145e-03   4.279001e-04
  9.584710e-01   2.444725e-03   4.258526e-04
  9.612230e-01   2.685855e-03   4.270414e-04
  9.639760e-01   2.719391e-03   4.264910e-04
  9.667280e-01   2.801826e-03   4.283672e-04
  9.694810e-01   2.352942e-03   4.208704e-04
  9.722330e-01   2.017087e-03   4.217175e-04
  9.749860e-01   2.710507e-03   4.238630e-04
  9.777380e-01   2.333275e-03   4.183613e-04
  9.804910e-01   2.620319e-03   4.182491e-04
  9.832430e-01   2.266087e-03   4.160235e-04
  9.859960e-01   2.829609e-03   4.203761e-04
  9.887490e-01   2.884536e-03   4.170957e-04
  9.915010e-01   2.235464e-03   4.165481e-04
  9.942540e-01   2.081855e-03   4.162275e-04
  9.970060e-01   2.052087e-03   4.152268e-04
  9.997590e-01   2.079188e-03   4.166117e-04
