Sample description: 
Sample:   c= 1.3600 mg/ml  Code: P1_1_P1_Buffer
Parent(s): analysis/processed/subtracted/P1_1_P1_Buffer_0013_sub.dat
  9.419560e-01   2.982647e-03   2.243532e-04
  9.447080e-01   3.028684e-03   2.238316e-04
  9.474610e-01   2.899515e-03   2.209368e-04
  9.502130e-01   2.786676e-03   2.221930e-04
  9.529660e-01   2.506868e-03   2.224698e-04
  9.557180e-01   2.608074e-03   2.217085e-04
  9.584710e-01   2.509713e-03   2.193018e-04
  9.612230e-01   2.470801e-03   2.202659e-04
  9.639760e-01   2.188294e-03   2.191932e-04
  9.667280e-01   2.465676e-03   2.211329e-04
  9.694810e-01   2.135360e-03   2.166465e-04
  9.722330e-01   2.123721e-03   2.174605e-04
  9.749860e-01   2.734096e-03   2.189343e-04
  9.777380e-01   2.481779e-03   2.151101e-04
  9.804910e-01   2.355022e-03   2.156494e-04
  9.832430e-01   2.233272e-03   2.138576e-04
  9.859960e-01   2.282478e-03   2.160974e-04
  9.887490e-01   2.316735e-03   2.153231e-04
  9.915010e-01   2.070103e-03   2.132588e-04
  9.942540e-01   2.276059e-03   2.145566e-04
  9.970060e-01   2.237221e-03   2.141407e-04
  9.997590e-01   2.495419e-03   2.146754e-04
  1.002510e+00   2.174669e-03   2.150625e-04
  1.005260e+00   2.203676e-03   2.119338e-04
  1.008020e+00   2.161618e-03   2.116154e-04
  1.010770e+00   2.000000e-03   2.104474e-04
  1.013520e+00   1.952162e-03   2.124546e-04
  1.016270e+00   1.732882e-03   2.107794e-04
  1.019030e+00   2.184574e-03   2.111223e-04
  1.021780e+00   1.782404e-03   2.107076e-04
  1.024530e+00   2.240551e-03   2.114281e-04
  1.027280e+00   2.035868e-03   2.097125e-04
  1.030040e+00   1.806074e-03   2.089703e-04
  1.032790e+00   1.702463e-03   2.105621e-04
  1.035540e+00   1.997846e-03   2.091410e-04
  1.038290e+00   2.156110e-03   2.081709e-04
  1.041050e+00   1.565603e-03   2.072711e-04
  1.043800e+00   1.752713e-03   2.090000e-04
  1.046550e+00   1.783184e-03   2.073879e-04
  1.049300e+00   2.016640e-03   2.080018e-04
  1.052060e+00   1.617551e-03   2.070729e-04
  1.054810e+00   1.712051e-03   2.064457e-04
  1.057560e+00   1.970169e-03   2.078915e-04
  1.060310e+00   1.571250e-03   2.060429e-04
  1.063070e+00   1.390316e-03   2.049475e-04
  1.065820e+00   1.642669e-03   2.061484e-04
  1.068570e+00   1.691559e-03   2.054226e-04
  1.071320e+00   1.886324e-03   2.047071e-04
  1.074080e+00   1.485301e-03   2.055210e-04
  1.076830e+00   1.628904e-03   2.043415e-04
  1.079580e+00   1.642515e-03   2.053662e-04
  1.082330e+00   1.831463e-03   2.029306e-04
  1.085090e+00   1.383463e-03   2.026395e-04
  1.087840e+00   1.650015e-03   2.034308e-04
  1.090590e+00   1.406596e-03   2.022207e-04
  1.093340e+00   1.641287e-03   2.029993e-04
  1.096100e+00   1.450493e-03   2.012659e-04
  1.098850e+00   1.590956e-03   2.021607e-04
  1.101600e+00   1.626809e-03   2.019512e-04
  1.104350e+00   1.509809e-03   2.018652e-04
  1.107110e+00   1.435243e-03   1.994996e-04
  1.109860e+00   1.393029e-03   2.008486e-04
  1.112610e+00   1.219206e-03   2.012814e-04
  1.115360e+00   1.386081e-03   2.008321e-04
  1.118120e+00   1.177331e-03   1.989557e-04
  1.120870e+00   1.254963e-03   1.981282e-04
  1.123620e+00   1.248721e-03   1.989575e-04
  1.126370e+00   1.385154e-03   1.997243e-04
  1.129130e+00   1.974007e-03   2.004910e-04
  1.131880e+00   1.393375e-03   1.993203e-04
  1.134630e+00   1.233441e-03   1.970181e-04
  1.137380e+00   1.679382e-03   1.990580e-04
  1.140140e+00   1.228463e-03   1.978898e-04
  1.142890e+00   1.334360e-03   1.964079e-04
  1.145640e+00   1.303132e-03   1.969478e-04
  1.148390e+00   1.429787e-03   1.977429e-04
  1.151150e+00   9.811176e-04   1.962759e-04
  1.153900e+00   1.368390e-03   1.965584e-04
  1.156650e+00   9.017721e-04   1.936160e-04
  1.159400e+00   1.173412e-03   1.965458e-04
  1.162160e+00   1.003875e-03   1.956013e-04
  1.164910e+00   1.241382e-03   1.946654e-04
  1.167660e+00   1.363735e-03   1.946268e-04
  1.170410e+00   1.024809e-03   1.937092e-04
  1.173170e+00   1.056331e-03   1.955569e-04
  1.175920e+00   1.407904e-03   1.949662e-04
  1.178670e+00   1.221721e-03   1.941292e-04
  1.181420e+00   1.053949e-03   1.940261e-04
  1.184180e+00   1.084118e-03   1.928164e-04
  1.186930e+00   1.435963e-03   1.933477e-04
  1.189680e+00   9.675735e-04   1.928909e-04
  1.192430e+00   8.446176e-04   1.916865e-04
  1.195190e+00   1.304272e-03   1.930510e-04
  1.197940e+00   1.038066e-03   1.921587e-04
  1.200690e+00   1.157066e-03   1.913851e-04
  1.203440e+00   1.049096e-03   1.898542e-04
  1.206200e+00   1.223838e-03   1.908082e-04
  1.208950e+00   1.124228e-03   1.911259e-04
  1.211700e+00   1.150779e-03   1.904560e-04
  1.214450e+00   1.202257e-03   1.893652e-04
  1.217210e+00   1.020824e-03   1.894874e-04
  1.219960e+00   1.284750e-03   1.892413e-04
  1.222710e+00   1.137441e-03   1.893613e-04
  1.225470e+00   1.154265e-03   1.890128e-04
  1.228220e+00   1.249059e-03   1.887601e-04
  1.230970e+00   9.432941e-04   1.896630e-04
  1.233720e+00   1.515654e-03   1.888568e-04
  1.236480e+00   8.336618e-04   1.876761e-04
  1.239230e+00   1.129500e-03   1.885485e-04
  1.241980e+00   1.219140e-03   1.887767e-04
  1.244730e+00   1.168390e-03   1.897299e-04
  1.247490e+00   7.957206e-04   1.876321e-04
  1.250240e+00   1.365103e-03   1.879943e-04
  1.252990e+00   1.055978e-03   1.885711e-04
  1.255740e+00   7.921912e-04   1.884516e-04
  1.258500e+00   1.058647e-03   1.881320e-04
  1.261250e+00   7.777941e-04   1.872256e-04
  1.264000e+00   8.501985e-04   1.876516e-04
  1.266750e+00   1.094037e-03   1.874381e-04
  1.269510e+00   6.340294e-04   1.858475e-04
  1.272260e+00   1.202103e-03   1.869235e-04
  1.275010e+00   1.148169e-03   1.866150e-04
  1.277760e+00   1.309081e-03   1.878923e-04
  1.280520e+00   1.356735e-03   1.869215e-04
  1.283270e+00   1.176978e-03   1.864129e-04
  1.286020e+00   8.604412e-04   1.857923e-04
  1.288770e+00   1.074993e-03   1.857828e-04
  1.291530e+00   9.622132e-04   1.859309e-04
  1.294280e+00   1.241978e-03   1.852294e-04
  1.297030e+00   8.704338e-04   1.846317e-04
  1.299780e+00   7.031176e-04   1.845133e-04
  1.302540e+00   1.185206e-03   1.844140e-04
  1.305290e+00   7.624412e-04   1.851576e-04
  1.308040e+00   8.635662e-04   1.829947e-04
  1.310790e+00   1.065882e-03   1.850465e-04
  1.313550e+00   9.433676e-04   1.839101e-04
  1.316300e+00   5.330074e-04   1.831709e-04
  1.319050e+00   1.010949e-03   1.838799e-04
  1.321800e+00   1.128360e-03   1.821125e-04
  1.324560e+00   7.049559e-04   1.836650e-04
  1.327310e+00   6.985662e-04   1.826646e-04
  1.330060e+00   1.013824e-03   1.821532e-04
  1.332810e+00   9.463088e-04   1.819393e-04
  1.335570e+00   9.318235e-04   1.819052e-04
  1.338320e+00   6.118750e-04   1.827480e-04
  1.341070e+00   1.083463e-03   1.823354e-04
  1.343820e+00   7.785809e-04   1.811165e-04
