  7.575370e-01   3.890996e-02   2.639048e-04
  7.602900e-01   3.931949e-02   2.662603e-04
  7.630420e-01   3.907635e-02   2.636604e-04
  7.657950e-01   3.839117e-02   2.628215e-04
  7.685470e-01   3.901270e-02   2.638503e-04
  7.713000e-01   3.898600e-02   2.610852e-04
  7.740520e-01   3.902736e-02   2.647255e-04
  7.768050e-01   3.853172e-02   2.604781e-04
  7.795570e-01   3.905853e-02   2.641360e-04
  7.823100e-01   3.854164e-02   2.607838e-04
  7.850620e-01   3.872956e-02   2.660561e-04
  7.878150e-01   3.878384e-02   2.717451e-04
  7.905670e-01   3.908781e-02   2.734055e-04
  7.933200e-01   3.851575e-02   2.733579e-04
  7.960720e-01   3.883726e-02   2.735873e-04
  7.988250e-01   3.861943e-02   2.751212e-04
  8.015770e-01   3.873709e-02   2.774275e-04
  8.043300e-01   3.839793e-02   2.763698e-04
  8.070820e-01   3.832219e-02   2.786686e-04
  8.098350e-01   3.852233e-02   2.793936e-04
  8.125870e-01   3.799014e-02   2.777858e-04
  8.153400e-01   3.837371e-02   2.801714e-04
  8.180920e-01   3.854887e-02   2.806362e-04
  8.208450e-01   3.861572e-02   2.835603e-04
  8.235970e-01   3.813561e-02   2.811207e-04
  8.263500e-01   3.837851e-02   2.842271e-04
  8.291030e-01   3.852124e-02   2.833789e-04
  8.318550e-01   3.823317e-02   2.818245e-04
  8.346080e-01   3.808340e-02   2.861031e-04
  8.373600e-01   3.796555e-02   2.844322e-04
  8.401130e-01   3.771769e-02   2.848952e-04
  8.428650e-01   3.810949e-02   2.810121e-04
  8.456180e-01   3.795097e-02   2.763420e-04
  8.483700e-01   3.807930e-02   2.752122e-04
  8.511230e-01   3.780561e-02   2.708329e-04
  8.538750e-01   3.749812e-02   2.683754e-04
  8.566280e-01   3.786127e-02   2.692356e-04
  8.593800e-01   3.781175e-02   2.677283e-04
  8.621330e-01   3.750815e-02   2.656319e-04
  8.648850e-01   3.797600e-02   2.642939e-04
  8.676380e-01   3.773030e-02   2.642790e-04
  8.703900e-01   3.778659e-02   2.637819e-04
  8.731430e-01   3.812408e-02   2.650935e-04
  8.758950e-01   3.755961e-02   2.609226e-04
  8.786480e-01   3.761165e-02   2.593267e-04
  8.814000e-01   3.772077e-02   2.605252e-04
  8.841530e-01   3.828563e-02   2.617802e-04
  8.869050e-01   3.803272e-02   2.613246e-04
  8.896580e-01   3.792285e-02   2.623091e-04
  8.924100e-01   3.718546e-02   2.633534e-04
  8.951630e-01   3.745336e-02   2.676235e-04
  8.979150e-01   3.747708e-02   2.681492e-04
  9.006680e-01   3.738423e-02   2.681239e-04
  9.034200e-01   3.761578e-02   2.713736e-04
  9.061730e-01   3.789696e-02   2.733168e-04
  9.089260e-01   3.754891e-02   2.718906e-04
  9.116780e-01   3.728968e-02   2.701907e-04
  9.144310e-01   3.685618e-02   2.696816e-04
  9.171830e-01   3.735132e-02   2.727359e-04
  9.199360e-01   3.771561e-02   2.732768e-04
  9.226880e-01   3.689058e-02   2.653145e-04
  9.254410e-01   3.736598e-02   2.634256e-04
  9.281930e-01   3.686997e-02   2.582402e-04
  9.309460e-01   3.702605e-02   2.582399e-04
  9.336980e-01   3.696299e-02   2.560376e-04
  9.364510e-01   3.707825e-02   2.546161e-04
  9.392030e-01   3.740605e-02   2.563900e-04
  9.419560e-01   3.707060e-02   2.539536e-04
  9.447080e-01   3.713922e-02   2.534266e-04
  9.474610e-01   3.678646e-02   2.499915e-04
  9.502130e-01   3.685970e-02   2.512213e-04
  9.529660e-01   3.636414e-02   2.511435e-04
  9.557180e-01   3.686852e-02   2.503874e-04
  9.584710e-01   3.646537e-02   2.475581e-04
  9.612230e-01   3.658561e-02   2.485749e-04
  9.639760e-01   3.628484e-02   2.469478e-04
  9.667280e-01   3.682787e-02   2.495194e-04
  9.694810e-01   3.621307e-02   2.440023e-04
  9.722330e-01   3.623650e-02   2.449007e-04
  9.749860e-01   3.692548e-02   2.474470e-04
  9.777380e-01   3.620201e-02   2.428115e-04
  9.804910e-01   3.625286e-02   2.432182e-04
  9.832430e-01   3.613847e-02   2.410177e-04
  9.859960e-01   3.623326e-02   2.436136e-04
  9.887490e-01   3.632638e-02   2.427844e-04
  9.915010e-01   3.599695e-02   2.401060e-04
  9.942540e-01   3.638712e-02   2.418492e-04
  9.970060e-01   3.646218e-02   2.413109e-04
  9.997590e-01   3.642504e-02   2.423208e-04
  1.002510e+00   3.653992e-02   2.422503e-04
  1.005260e+00   3.651740e-02   2.387712e-04
  1.008020e+00   3.591386e-02   2.384036e-04
  1.010770e+00   3.574091e-02   2.368541e-04
  1.013520e+00   3.583916e-02   2.390322e-04
  1.016270e+00   3.579220e-02   2.368148e-04
  1.019030e+00   3.623762e-02   2.378536e-04
  1.021780e+00   3.575903e-02   2.368131e-04
  1.024530e+00   3.636541e-02   2.382719e-04
  1.027280e+00   3.595122e-02   2.360653e-04
  1.030040e+00   3.581590e-02   2.348933e-04
  1.032790e+00   3.580194e-02   2.365222e-04
  1.035540e+00   3.586913e-02   2.353691e-04
  1.038290e+00   3.604789e-02   2.345012e-04
  1.041050e+00   3.559964e-02   2.326361e-04
  1.043800e+00   3.589618e-02   2.348398e-04
  1.046550e+00   3.546090e-02   2.331072e-04
  1.049300e+00   3.614270e-02   2.340949e-04
  1.052060e+00   3.555645e-02   2.324928e-04
  1.054810e+00   3.572464e-02   2.319181e-04
  1.057560e+00   3.605498e-02   2.339049e-04
  1.060310e+00   3.534246e-02   2.312817e-04
  1.063070e+00   3.522175e-02   2.297892e-04
  1.065820e+00   3.565199e-02   2.314854e-04
  1.068570e+00   3.548987e-02   2.307540e-04
  1.071320e+00   3.569249e-02   2.302296e-04
  1.074080e+00   3.569892e-02   2.305446e-04
  1.076830e+00   3.554194e-02   2.294447e-04
  1.079580e+00   3.544661e-02   2.306239e-04
  1.082330e+00   3.544765e-02   2.281666e-04
  1.085090e+00   3.523307e-02   2.271906e-04
  1.087840e+00   3.568301e-02   2.284451e-04
  1.090590e+00   3.495588e-02   2.267698e-04
  1.093340e+00   3.544315e-02   2.279630e-04
  1.096100e+00   3.511367e-02   2.257552e-04
  1.098850e+00   3.539635e-02   2.269497e-04
  1.101600e+00   3.551360e-02   2.267618e-04
  1.104350e+00   3.531711e-02   2.265021e-04
  1.107110e+00   3.498663e-02   2.237576e-04
  1.109860e+00   3.528815e-02   2.251938e-04
  1.112610e+00   3.512919e-02   2.254314e-04
  1.115360e+00   3.525199e-02   2.251649e-04
  1.118120e+00   3.490755e-02   2.227741e-04
  1.120870e+00   3.502071e-02   2.219558e-04
  1.123620e+00   3.496874e-02   2.228788e-04
  1.126370e+00   3.501115e-02   2.239374e-04
  1.129130e+00   3.565835e-02   2.256167e-04
  1.131880e+00   3.532923e-02   2.234763e-04
  1.134630e+00   3.517868e-02   2.206731e-04
  1.137380e+00   3.542287e-02   2.235949e-04
  1.140140e+00   3.495179e-02   2.216571e-04
  1.142890e+00   3.489886e-02   2.201514e-04
  1.145640e+00   3.504603e-02   2.207024e-04
  1.148390e+00   3.521640e-02   2.217665e-04
  1.151150e+00   3.477765e-02   2.194960e-04
  1.153900e+00   3.510536e-02   2.203563e-04
  1.156650e+00   3.445779e-02   2.164194e-04
  1.159400e+00   3.487484e-02   2.200743e-04
  1.162160e+00   3.468732e-02   2.187777e-04
  1.164910e+00   3.495313e-02   2.180603e-04
  1.167660e+00   3.504950e-02   2.181865e-04
  1.170410e+00   3.467903e-02   2.166921e-04
  1.173170e+00   3.483088e-02   2.188016e-04
  1.175920e+00   3.524286e-02   2.186206e-04
  1.178670e+00   3.502248e-02   2.174293e-04
  1.181420e+00   3.477654e-02   2.170853e-04
  1.184180e+00   3.478643e-02   2.157768e-04
  1.186930e+00   3.505606e-02   2.168577e-04
  1.189680e+00   3.470927e-02   2.156927e-04
  1.192430e+00   3.446227e-02   2.141826e-04
  1.195190e+00   3.518330e-02   2.163285e-04
  1.197940e+00   3.492805e-02   2.149664e-04
  1.200690e+00   3.480961e-02   2.142740e-04
  1.203440e+00   3.477788e-02   2.124111e-04
  1.206200e+00   3.499560e-02   2.137130e-04
  1.208950e+00   3.493436e-02   2.139342e-04
  1.211700e+00   3.475667e-02   2.132302e-04
  1.214450e+00   3.495109e-02   2.120695e-04
  1.217210e+00   3.486305e-02   2.119571e-04
  1.219960e+00   3.496994e-02   2.120434e-04
  1.222710e+00   3.492045e-02   2.119773e-04
  1.225470e+00   3.477635e-02   2.116178e-04
  1.228220e+00   3.500809e-02   2.114523e-04
  1.230970e+00   3.473784e-02   2.120520e-04
  1.233720e+00   3.529030e-02   2.119158e-04
  1.236480e+00   3.455036e-02   2.096844e-04
  1.239230e+00   3.472276e-02   2.110652e-04
  1.241980e+00   3.504864e-02   2.114313e-04
  1.244730e+00   3.488969e-02   2.124334e-04
  1.247490e+00   3.451710e-02   2.095829e-04
  1.250240e+00   3.500725e-02   2.107563e-04
  1.252990e+00   3.507817e-02   2.109731e-04
  1.255740e+00   3.468839e-02   2.104872e-04
  1.258500e+00   3.492086e-02   2.104882e-04
  1.261250e+00   3.480893e-02   2.090968e-04
  1.264000e+00   3.477463e-02   2.096716e-04
  1.266750e+00   3.473173e-02   2.097715e-04
  1.269510e+00   3.448505e-02   2.073684e-04
  1.272260e+00   3.496676e-02   2.093324e-04
  1.275010e+00   3.500100e-02   2.089131e-04
  1.277760e+00   3.534534e-02   2.105488e-04
  1.280520e+00   3.508402e-02   2.095393e-04
  1.283270e+00   3.516209e-02   2.087179e-04
  1.286020e+00   3.496050e-02   2.076017e-04
  1.288770e+00   3.475915e-02   2.078921e-04
  1.291530e+00   3.495749e-02   2.078993e-04
  1.294280e+00   3.494763e-02   2.074923e-04
  1.297030e+00   3.453418e-02   2.063327e-04
  1.299780e+00   3.468145e-02   2.059701e-04
  1.302540e+00   3.493550e-02   2.065016e-04
  1.305290e+00   3.467978e-02   2.067712e-04
  1.308040e+00   3.457148e-02   2.044928e-04
  1.310790e+00   3.511823e-02   2.070399e-04
  1.313550e+00   3.483070e-02   2.056165e-04
  1.316300e+00   3.441734e-02   2.042467e-04
  1.319050e+00   3.497124e-02   2.056664e-04
  1.321800e+00   3.488253e-02   2.038516e-04
  1.324560e+00   3.431928e-02   2.050341e-04
  1.327310e+00   3.442225e-02   2.039064e-04
  1.330060e+00   3.463440e-02   2.037524e-04
  1.332810e+00   3.482918e-02   2.034148e-04
  1.335570e+00   3.466835e-02   2.033653e-04
  1.338320e+00   3.450940e-02   2.038796e-04
  1.341070e+00   3.501774e-02   2.040364e-04
  1.343820e+00   3.470038e-02   2.022765e-04
  1.346580e+00   3.455812e-02   2.024854e-04
  1.349330e+00   3.527187e-02   2.043583e-04
  1.352080e+00   3.444964e-02   2.020962e-04
  1.354830e+00   3.483219e-02   2.019092e-04
  1.357590e+00   3.503910e-02   2.029144e-04
  1.360340e+00   3.426338e-02   2.014791e-04
  1.363090e+00   3.484915e-02   2.016217e-04
  1.365840e+00   3.451558e-02   2.019452e-04
  1.368600e+00   3.456753e-02   2.055547e-04
  1.371350e+00   3.476622e-02   2.076856e-04
  1.374100e+00   3.492841e-02   2.101371e-04
  1.376850e+00   3.477272e-02   2.099694e-04
  1.379610e+00   3.476490e-02   2.104099e-04
  1.382360e+00   3.469289e-02   2.116790e-04
  1.385110e+00   3.452007e-02   2.126569e-04
  1.387860e+00   3.454803e-02   2.129868e-04
  1.390620e+00   3.425204e-02   2.109577e-04
  1.393370e+00   3.461183e-02   2.142368e-04
  1.396120e+00   3.448469e-02   2.147495e-04
  1.398870e+00   3.429902e-02   2.139171e-04
  1.401630e+00   3.497430e-02   2.161082e-04
  1.404380e+00   3.451179e-02   2.160016e-04
  1.407130e+00   3.448289e-02   2.173544e-04
  1.409880e+00   3.477209e-02   2.174945e-04
  1.412640e+00   3.439372e-02   2.168139e-04
  1.415390e+00   3.430928e-02   2.166349e-04
  1.418140e+00   3.455593e-02   2.203910e-04
  1.420890e+00   3.454719e-02   2.179850e-04
  1.423650e+00   3.433510e-02   2.179302e-04
  1.426400e+00   3.485423e-02   2.186938e-04
  1.429150e+00   3.454623e-02   2.133043e-04
  1.431900e+00   3.461127e-02   2.140776e-04
