  5.455930e-01   4.171657e-02   3.104380e-04
  5.483460e-01   4.154611e-02   3.098050e-04
  5.510980e-01   4.155064e-02   3.081810e-04
  5.538510e-01   4.121053e-02   3.047210e-04
  5.566030e-01   4.108511e-02   3.038601e-04
  5.593560e-01   4.102116e-02   3.028410e-04
  5.621080e-01   4.065634e-02   2.999516e-04
  5.648610e-01   4.032262e-02   2.983351e-04
  5.676130e-01   4.006528e-02   2.998735e-04
  5.703660e-01   3.983328e-02   2.972806e-04
  5.731180e-01   3.989101e-02   2.954249e-04
  5.758710e-01   3.934546e-02   2.922918e-04
  5.786230e-01   3.877914e-02   2.914579e-04
  5.813760e-01   3.953101e-02   2.951974e-04
  5.841280e-01   3.855748e-02   2.888067e-04
  5.868810e-01   3.867517e-02   2.890645e-04
  5.896330e-01   3.917068e-02   2.912749e-04
  5.923860e-01   3.881816e-02   2.881679e-04
  5.951390e-01   3.795766e-02   2.872704e-04
  5.978910e-01   3.821690e-02   2.838375e-04
  6.006440e-01   3.833544e-02   2.865493e-04
  6.033960e-01   3.837677e-02   2.867061e-04
  6.061490e-01   3.775797e-02   2.816120e-04
  6.089010e-01   3.795907e-02   2.830489e-04
  6.116540e-01   3.734864e-02   2.800823e-04
  6.144060e-01   3.742128e-02   2.813797e-04
  6.171590e-01   3.776280e-02   2.807825e-04
  6.199110e-01   3.751313e-02   2.781812e-04
  6.226640e-01   3.689506e-02   2.783767e-04
  6.254160e-01   3.757124e-02   2.782375e-04
  6.281690e-01   3.720537e-02   2.778695e-04
  6.309210e-01   3.706320e-02   2.743999e-04
  6.336740e-01   3.702144e-02   2.748905e-04
  6.364260e-01   3.707990e-02   2.789074e-04
  6.391790e-01   3.724019e-02   2.757028e-04
  6.419310e-01   3.676355e-02   2.734434e-04
  6.446840e-01   3.670768e-02   2.710261e-04
  6.474360e-01   3.667281e-02   2.718377e-04
  6.501890e-01   3.653733e-02   2.743842e-04
  6.529410e-01   3.647771e-02   2.700209e-04
  6.556940e-01   3.671036e-02   2.696384e-04
  6.584460e-01   3.621600e-02   2.687396e-04
  6.611990e-01   3.658169e-02   2.708722e-04
  6.639510e-01   3.670831e-02   2.693257e-04
  6.667040e-01   3.612329e-02   2.671705e-04
  6.694560e-01   3.639879e-02   2.683435e-04
  6.722090e-01   3.631430e-02   2.691063e-04
  6.749620e-01   3.593927e-02   2.648334e-04
  6.777140e-01   3.690451e-02   2.679104e-04
  6.804670e-01   3.622620e-02   2.655884e-04
  6.832190e-01   3.665152e-02   2.674446e-04
  6.859720e-01   3.615842e-02   2.653412e-04
  6.887240e-01   3.608659e-02   2.652286e-04
  6.914770e-01   3.599817e-02   2.613997e-04
  6.942290e-01   3.597536e-02   2.637848e-04
  6.969820e-01   3.621577e-02   2.640752e-04
  6.997340e-01   3.593329e-02   2.618832e-04
  7.024870e-01   3.620256e-02   2.615700e-04
  7.052390e-01   3.584134e-02   2.609706e-04
  7.079920e-01   3.599294e-02   2.623876e-04
  7.107440e-01   3.617040e-02   2.611673e-04
  7.134970e-01   3.629048e-02   2.608943e-04
  7.162490e-01   3.615208e-02   2.612462e-04
  7.190020e-01   3.610090e-02   2.604958e-04
  7.217540e-01   3.582722e-02   2.585277e-04
  7.245070e-01   3.561146e-02   2.581632e-04
  7.272590e-01   3.626815e-02   2.598356e-04
  7.300120e-01   3.587962e-02   2.578873e-04
  7.327640e-01   3.613820e-02   2.581241e-04
  7.355170e-01   3.601298e-02   2.564524e-04
  7.382690e-01   3.592416e-02   2.568181e-04
  7.410220e-01   3.596255e-02   2.574942e-04
  7.437740e-01   3.591988e-02   2.551819e-04
  7.465270e-01   3.592490e-02   2.568168e-04
  7.492790e-01   3.597003e-02   2.548318e-04
