Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: P1_4_P1_Buffer
Parent(s): C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_4_P1_Buffer_0022.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_3_P1_Buffer_0019.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_2_P1_Buffer_0016.dat C:/Users/jeffries/Desktop/p3l-garcia/RNA_Polymerase_Kosinski_EMBO_course/Concentration_series/P1_1_P1_Buffer_0013.dat
 4.905430e-001  2.546240e-002  3.426371e-004
 4.932950e-001  2.440188e-002  3.338287e-004
 4.960480e-001  2.344492e-002  3.330786e-004
 4.988000e-001  2.254335e-002  3.276608e-004
 5.015530e-001  2.220916e-002  3.280112e-004
 5.043050e-001  2.222419e-002  3.229741e-004
 5.070580e-001  2.138621e-002  3.196072e-004
 5.098100e-001  1.982619e-002  3.160751e-004
 5.125630e-001  1.985629e-002  3.144618e-004
 5.153160e-001  1.966079e-002  3.140898e-004
 5.180680e-001  1.857204e-002  3.107915e-004
 5.208210e-001  1.776125e-002  3.104244e-004
 5.235730e-001  1.749200e-002  3.077476e-004
 5.263260e-001  1.634813e-002  3.042472e-004
 5.290780e-001  1.650218e-002  3.044688e-004
 5.318310e-001  1.614646e-002  3.049685e-004
 5.345830e-001  1.535615e-002  3.014976e-004
 5.373360e-001  1.592846e-002  3.006548e-004
 5.400880e-001  1.477096e-002  2.932436e-004
 5.428410e-001  1.383977e-002  2.906132e-004
 5.455930e-001  1.339035e-002  2.906226e-004
 5.483460e-001  1.315250e-002  2.905059e-004
 5.510980e-001  1.279077e-002  2.871491e-004
 5.538510e-001  1.225262e-002  2.836512e-004
 5.566030e-001  1.248719e-002  2.828139e-004
 5.593560e-001  1.238351e-002  2.821873e-004
 5.621080e-001  1.173135e-002  2.784292e-004
 5.648610e-001  1.121410e-002  2.761981e-004
 5.676130e-001  1.103870e-002  2.803288e-004
 5.703660e-001  1.069389e-002  2.760824e-004
 5.731180e-001  9.876015e-003  2.731160e-004
 5.758710e-001  1.023860e-002  2.715479e-004
 5.786230e-001  9.901654e-003  2.719889e-004
 5.813760e-001  9.468382e-003  2.719775e-004
 5.841280e-001  9.456985e-003  2.691959e-004
 5.868810e-001  8.760132e-003  2.678187e-004
 5.896330e-001  8.424728e-003  2.665759e-004
 5.923860e-001  8.971838e-003  2.657171e-004
 5.951390e-001  8.316235e-003  2.677463e-004
 5.978910e-001  8.037529e-003  2.626542e-004
 6.006440e-001  7.807449e-003  2.632634e-004
 6.033960e-001  7.874324e-003  2.635268e-004
 6.061490e-001  7.592412e-003  2.601389e-004
 6.089010e-001  7.484434e-003  2.596551e-004
 6.116540e-001  7.493088e-003  2.601015e-004
 6.144060e-001  7.553103e-003  2.601683e-004
 6.171590e-001  7.322051e-003  2.582168e-004
 6.199110e-001  7.128162e-003  2.555100e-004
